time,Payload no,Payload Yes,p1,p2
895,49.87,91.5,50.13,8.5
896,65.5,99.25,34.5,0.75
897,99.5,96.02,0.5,3.98
898,97.49,99.5,2.51,0.5
899,99.5,98.5,0.5,1.5
900,99.25,99.5,0.75,0.5
901,99.5,99.25,0.5,0.75
902,99,99.5,1,0.5
903,99.25,99.5,0.75,0.5
904,99.5,79.4,0.5,20.6
905,99.25,99,0.75,1
906,99.5,99.25,0.5,0.75
907,71.32,99,28.68,1
908,73.23,99.75,26.77,0.25
909,74.69,98.25,25.31,1.75
910,73.48,99,26.52,1
911,71.97,99.5,28.03,0.5
912,73.5,99.5,26.5,0.5
913,68.25,99,31.75,1
914,37.94,99,62.06,1
915,93.33,99,6.67,1
916,99.25,99.5,0.75,0.5
917,86.97,99.5,13.03,0.5
918,61.75,98.74,38.25,1.26
919,56.67,99,43.33,1
920,67.77,97.99,32.23,2.01
921,68.46,99.75,31.54,0.25
922,71.72,99.75,28.28,0.25
923,70.53,97.26,29.47,2.74
924,56.82,99.25,43.18,0.75
925,41.06,99.25,58.94,0.75
926,42.07,98.75,57.93,1.25
927,61.27,99,38.73,1
928,72.47,99,27.53,1
929,53.77,94.24,46.23,5.76
930,56.44,75.94,43.56,24.06
931,70.85,99.24,29.15,0.76
932,25.31,99.25,74.69,0.75
933,24.24,99.24,75.76,0.76
934,32.58,99,67.42,1
935,70.18,99.25,29.82,0.75
936,70.2,98.5,29.8,1.5
937,72.15,99.5,27.85,0.5
938,70.89,99.5,29.11,0.5
939,68.7,99.25,31.3,0.75
940,72.54,99.25,27.46,0.75
941,65,99.5,35,0.5
942,48.99,99,51.01,1
943,49.62,99.5,50.38,0.5
944,48.88,90.5,51.12,9.5
945,48.76,99.5,51.24,0.5
946,50.7,99,49.3,1
947,71.36,99,28.64,1
948,67.75,95.74,32.25,4.26
949,73.1,99.25,26.9,0.75
950,74.37,96.25,25.63,3.75
951,37.58,99.75,62.42,0.25
952,74.37,99.75,25.63,0.25
953,54.14,99,45.86,1
954,72.43,98.99,27.57,1.01
955,74.62,91.23,25.38,8.77
956,92.46,91.98,7.54,8.02
957,98.5,94.71,1.5,5.29
958,52.21,97.23,47.79,2.77
959,75.13,99.25,24.87,0.75
960,65.39,99.25,34.61,0.75
961,72.68,99,27.32,1
962,95.98,98.25,4.02,1.75
963,99,99,1,1
964,97.73,99,2.27,1
965,98.5,99.25,1.5,0.75
966,75,98.75,25,1.25
967,70.1,98.75,29.9,1.25
968,70.51,99.5,29.49,0.5
969,59.25,99.25,40.75,0.75
970,69.27,99.5,30.73,0.5
971,69.85,99.5,30.15,0.5
972,72.22,99,27.78,1
973,66.41,99.5,33.59,0.5
974,45.45,98.99,54.55,1.01
975,36.41,98.75,63.59,1.25
976,44.58,99.25,55.42,0.75
977,47.86,99.49,52.14,0.51
978,47.61,89.7,52.39,10.3
979,48,99.75,52,0.25
980,52.84,83.88,47.16,16.12
981,70.28,74.49,29.72,25.51
982,70.6,74.81,29.4,25.19
983,70.93,70,29.07,30
984,67.76,67.51,32.24,32.49
985,46.19,68.37,53.81,31.63
986,71.68,55.25,28.32,44.75
987,71.61,41.6,28.39,58.4
988,70.47,49.87,29.53,50.13
989,42.75,49.87,57.25,50.13
990,72.61,50,27.39,50
991,69.42,31.16,30.58,68.84
992,69.77,26.1,30.23,73.9
993,71.11,43.83,28.89,56.17
994,71.22,20.15,28.78,79.85
995,24,85.68,76,14.32
996,0,100,100,0
997,0,75.44,100,24.56
998,8.82,75.13,91.18,24.87
999,54.66,74.94,45.34,25.06
1000,75.06,74.71,24.94,25.29
1001,74.06,73.82,25.94,26.18
1002,74.12,74.25,25.88,25.75
1003,74.5,74.62,25.5,25.38
1004,74.62,75.13,25.38,24.87
1005,74.56,74.87,25.44,25.13
1006,67.84,71.54,32.16,28.46
1007,66.67,74.87,33.33,25.13
1008,73.57,74.81,26.43,25.19
1009,74.81,74.56,25.19,25.44
1010,99.75,74.87,0.25,25.13
1011,99.25,74.56,0.75,25.44
1012,99.75,56.67,0.25,43.33
1013,96.98,91.73,3.02,8.27
1014,75.82,99.25,24.18,0.75
1015,73.01,98.26,26.99,1.74
1016,84.34,98.5,15.66,1.5
1017,99.5,76.31,0.5,23.69
1018,99.5,79.83,0.5,20.17
1019,99,99,1,1
1020,99,99.5,1,0.5
1021,82.5,99,17.5,1
1022,99.5,99.5,0.5,0.5
1023,99.25,99,0.75,1
1024,99.25,97.26,0.75,2.74
1025,99,99.25,1,0.75
1026,94.26,99.5,5.74,0.5
1027,74.49,99.5,25.51,0.5
1028,60.65,95.74,39.35,4.26
1029,49.5,99.5,50.5,0.5
1030,50.25,99.75,49.75,0.25
1031,62.12,99.25,37.88,0.75
1032,99.5,99.5,0.5,0.5
1033,97.99,99,2.01,1
1034,99.5,98.75,0.5,1.25
1035,99.25,99.5,0.75,0.5
1036,99.5,98.25,0.5,1.75
1037,99.5,99.25,0.5,0.75
1038,98.99,83,1.01,17
1039,98.75,99.5,1.25,0.5
1040,99.5,99.5,0.5,0.5
1041,98.5,99.25,1.5,0.75
1042,84.21,99,15.79,1
1043,99.5,69.5,0.5,30.5
1044,94.01,98.24,5.99,1.76
1045,99.25,99.25,0.75,0.75
1046,83.42,99.5,16.58,0.5
1047,98.76,99.5,1.24,0.5
1048,98.75,99,1.25,1
1049,99.5,99.25,0.5,0.75
1050,99.25,99,0.75,1
1051,98.75,99.5,1.25,0.5
1052,84.67,99,15.33,1
1053,99.5,99.25,0.5,0.75
1054,99.25,68.92,0.75,31.08
1055,99.5,99.5,0.5,0.5
1056,83.42,99.75,16.58,0.25
1057,90.77,99.75,9.23,0.25
1058,92.71,83,7.29,17
1059,99,99,1,1
1060,99,99.5,1,0.5
1061,82.34,99.25,17.66,0.75
1062,99.5,99.5,0.5,0.5
1063,97.51,98.75,2.49,1.25
1064,99.25,67.58,0.75,32.42
1065,99.25,99,0.75,1
1066,99.24,99.25,0.76,0.75
1067,99.25,99,0.75,1
1068,83.67,98.75,16.33,1.25
1069,99.5,99.25,0.5,0.75
1070,99.5,99,0.5,1
1071,82.54,99,17.46,1
1072,99.25,98.99,0.75,1.01
1073,99.25,99,0.75,1
1074,99.25,98.75,0.75,1.25
1075,99.5,99.5,0.5,0.5
1076,99.25,98.76,0.75,1.24
1077,99.5,99.5,0.5,0.5
1078,98.75,99.5,1.25,0.5
1079,99.25,83.92,0.75,16.08
1080,99.25,84.5,0.75,15.5
1081,97.74,99.5,2.26,0.5
1082,99.5,98.99,0.5,1.01
1083,99.5,42.82,0.5,57.18
1084,98.25,96.76,1.75,3.24
1085,99.25,99.75,0.75,0.25
1086,,99.75,,0.25
1087,,96.49,,3.51
1088,,99,,1
1089,,99.25,,0.75
1090,,85.35,,14.65
1091,,98.75,,1.25
1092,,99.75,,0.25
1093,,77.28,,22.72
1094,,99.5,,0.5
1095,,99,,1
1096,,99,,1
1097,,99.75,,0.25
1098,,98.5,,1.5
1099,,98.75,,1.25
1100,,82.59,,17.41
1101,,49.25,,50.75
1102,,49.37,,50.63
1103,,74.94,,25.06
1104,,74,,26
1105,,74.44,,25.56
1106,,73.88,,26.12
1107,,77.42,,22.58
1108,,99.25,,0.75
1109,,99.24,,0.76
1110,,99.25,,0.75
1111,,99.25,,0.75
1112,,77.86,,22.14
1113,,73.5,,26.5
1114,,73.8,,26.2
1115,,83.83,,16.17
1116,,99.25,,0.75
1117,,99.25,,0.75
1118,,99.25,,0.75
1119,,98.75,,1.25
1120,,99,,1
1121,,99.25,,0.75
1122,,93.53,,6.47
1123,,61.69,,38.31
1124,,74.62,,25.38
1125,,58.8,,41.2
1126,,73.87,,26.13
1127,,73.63,,26.37
1128,,73.93,,26.07
1129,,72.86,,27.14
1130,,73.18,,26.82
1131,,68.15,,31.85
1132,,89.97,,10.03
1133,,99.5,,0.5
1134,,99.5,,0.5
1135,,98.25,,1.75
1136,,98.51,,1.49
1137,,91.07,,8.93
1138,,55.89,,44.11
1139,,73.23,,26.77
1140,,72.08,,27.92
1141,,67.27,,32.73
1142,,74.24,,25.76
1143,,70.3,,29.7
1144,,71.03,,28.97
1145,,72.77,,27.23
1146,,72.54,,27.46
1147,,68,,32
1148,,45.59,,54.41
1149,,40.93,,59.07
1150,,40.5,,59.5
1151,,53.9,,46.1
1152,,32.75,,67.25
1153,,24.94,,75.06
1154,,35.59,,64.41
1155,,71.46,,28.54
1156,,72.15,,27.85
1157,,51.5,,48.5
1158,,74.44,,25.56
1159,,74.19,,25.81
1160,,74.37,,25.63
1161,,44.97,,55.03
1162,,49.38,,50.62
1163,,49.62,,50.38
1164,,48.25,,51.75
1165,,49.87,,50.13
1166,,49.38,,50.62
1167,,49.75,,50.25
1168,,49.25,,50.75
1169,,49.37,,50.63
1170,,48.38,,51.62
1171,,38.44,,61.56
1172,,73.43,,26.57
1173,,71.39,,28.61
1174,,71.28,,28.72
1175,,69.33,,30.67
1176,,70.6,,29.4
1177,,71.57,,28.43
1178,,72.41,,27.59
1179,,71.03,,28.97
1180,,49.87,,50.13
1181,,49.75,,50.25
1182,,50.13,,49.87
1183,,67.42,,32.58
1184,,71.82,,28.18
1185,,70.82,,29.18
1186,,71.36,,28.64
1187,,73.91,,26.09
1188,,73.47,,26.53
1189,,71.71,,28.29
1190,,46.4,,53.6
1191,,70.28,,29.72
1192,,70.03,,29.97
1193,,72.5,,27.5
1194,,70.93,,29.07
1195,,72.01,,27.99
1196,,69.75,,30.25
1197,,72.61,,27.39
1198,,70.89,,29.11
1199,,71.93,,28.07
1200,,74.31,,25.69
1201,,40.25,,59.75
1202,,48.24,,51.76
1203,,24.81,,75.19
1204,,60.66,,39.34
1205,,66.42,,33.58
1206,,74.06,,25.94
1207,,74.44,,25.56
1208,,74.44,,25.56
1209,,74.25,,25.75
1210,,74.44,,25.56
1211,,74.37,,25.63
1212,,78.39,,21.61
1213,,99.25,,0.75
1214,,99.5,,0.5
1215,,99.75,,0.25
1216,,94.24,,5.76
1217,,74.5,,25.5
1218,,62.47,,37.53
1219,,66.24,,33.76
1220,,97.74,,2.26
1221,,99.25,,0.75
1222,,96.73,,3.27
1223,,99.5,,0.5
1224,,93.16,,6.84
1225,,62.22,,37.78
1226,,70.03,,29.97
1227,,66.67,,33.33
1228,,69.19,,30.81
1229,,72.18,,27.82
1230,,71.5,,28.5
1231,,71.86,,28.14
1232,,71.28,,28.72
1233,,55.28,,44.72
1234,,50.13,,49.87
1235,,41.6,,58.4
1236,,48.63,,51.37
1237,,49,,51
1238,,44.61,,55.39
1239,,17.13,,82.87
1240,,47.61,,52.39
1241,,48.1,,51.9
1242,,44.11,,55.89
1243,,51.03,,48.97
1244,,69.75,,30.25
1245,,72.29,,27.71
1246,,71.39,,28.61
1247,,68.84,,31.16
1248,,70.03,,29.97
1249,,69.85,,30.15
1250,,74.31,,25.69
1251,,71.9,,28.1
1252,,72.75,,27.25
1253,,70.89,,29.11
1254,,53.87,,46.13
1255,,71.54,,28.46
1256,,72.84,,27.16
1257,,73.8,,26.2
1258,,73.3,,26.7
1259,,51.02,,48.98
1260,,47.01,,52.99
1261,,48.37,,51.63
1262,,49.87,,50.13
1263,,55.7,,44.3
1264,,69.02,,30.98
1265,,72.43,,27.57
1266,,70.94,,29.06
1267,,72.52,,27.48
1268,,70.12,,29.88
1269,,70.82,,29.18
1270,,73.1,,26.9
1271,,72.73,,27.27
1272,,74.49,,25.51
1273,,73.25,,26.75
1274,,64.66,,35.34
1275,,74.81,,25.19
1276,,74.5,,25.5
1277,,74.56,,25.44
1278,,74.44,,25.56
1279,,74.44,,25.56
1280,,74.25,,25.75
1281,,83.25,,16.75
1282,,99.5,,0.5
1283,,98.99,,1.01
1284,,98.99,,1.01
1285,,84.63,,15.37
1286,,50.13,,49.87
1287,,60.98,,39.02
1288,,64.56,,35.44
1289,,88.53,,11.47
1290,,99.5,,0.5
1291,,99.75,,0.25
1292,,99,,1
1293,,93.69,,6.31
1294,,76.75,,23.25
1295,,99.25,,0.75
1296,,99.25,,0.75
1297,,100,,0
1298,,99,,1
1299,,98.99,,1.01
1300,,99,,1
1301,,99.5,,0.5
1302,,100,,0
1303,,99.5,,0.5
1304,,85.93,,14.07
1305,,68.69,,31.31
1306,,50,,50
1307,,50.25,,49.75
1308,,50.13,,49.87
1309,,54.43,,45.57
1310,,99.25,,0.75
1311,,99.75,,0.25
1312,,99.5,,0.5
1313,,82.66,,17.34
1314,,84.67,,15.33
1315,,99.5,,0.5
1316,,100,,0
1317,,98.48,,1.52
1318,,99.25,,0.75
1319,,99.25,,0.75
1320,,97.49,,2.51
1321,,99.75,,0.25
1322,,99.75,,0.25
1323,,98.76,,1.24
1324,,99.5,,0.5
1325,,98.75,,1.25
1326,,99.5,,0.5
1327,,99.75,,0.25
1328,,99.5,,0.5
1329,,99.25,,0.75
1330,,98.99,,1.01
1331,,99.75,,0.25
1332,,99.25,,0.75
1333,,99,,1
1334,,99.25,,0.75
1335,,99,,1
1336,,73.79,,26.21
1337,,73.57,,26.43
1338,,73.12,,26.88
1339,,74.12,,25.88
1340,,73.88,,26.12
1341,,74.31,,25.69
1342,,81.57,,18.43
1343,,99.5,,0.5
1344,,99.5,,0.5
1345,,99.75,,0.25
1346,,94.99,,5.01
1347,,97.99,,2.01
1348,,99.5,,0.5
1349,,76.94,,23.06
1350,,85.75,,14.25
1351,,99.75,,0.25
1352,,99,,1
1353,,83.46,,16.54
1354,,97.77,,2.23
1355,,99,,1
1356,,99.5,,0.5
1357,,99.5,,0.5
1358,,98.99,,1.01
1359,,99,,1
1360,,99.24,,0.76
1361,,99.5,,0.5
1362,,99,,1
1363,,98.26,,1.74
1364,,99.5,,0.5
1365,,99.25,,0.75
1366,,99.5,,0.5
1367,,90.63,,9.37
1368,,71.11,,28.89
1369,,99.75,,0.25
1370,,99.75,,0.25
1371,,99.75,,0.25
1372,,99.25,,0.75
1373,,99.25,,0.75
1374,,79.52,,20.48
1375,,72.68,,27.32
1376,,74.37,,25.63
1377,,72.14,,27.86
1378,,73.87,,26.13
1379,,72.43,,27.57
1380,,33.25,,66.75
1381,,33.83,,66.17
1382,,79.95,,20.05
1383,,99.75,,0.25
1384,,99.5,,0.5
1385,,99.25,,0.75
1386,,99.5,,0.5
1387,,99.75,,0.25
1388,,99.5,,0.5
1389,,99.25,,0.75
1390,,99.5,,0.5
1391,,98.5,,1.5
1392,,79.15,,20.85
1393,,88.94,,11.06
1394,,90,,10
1395,,100,,0
1396,,73.2,,26.8
